pwsid,utility_name,ws_watershed,huc8,huc8_name,huc6_name
TX1300001,City of Boerne,Guadalupe River (Canyon Lake),12100201,Upper Guadalupe,Guadalupe
TX1300001,City of Boerne,Cibolo Creek (Boerne Lake),12100304,Cibolo,San Antonio
,,,,,
