"location","dec_long_va","dec_lat_va","elevation","elevation_at_mp","total_depth","casing_diameter","casing_type","casing_depth","cemented","estimated_gpm","aquifer","strata","district_id","state_id","avg_level","median_level","low","high","range","yrs_in_service","current","month","year","long_va","lat_va","agency"
"Waring TWDB",-98.7886111111111,29.93,1355,1356.25,281,6.625,"PVC","160","160","35","Middle Trinity","Kgrl Kh",22,6802609,1250.48244970414,1252.22,1188.48,1310.57,122.09,46.6475017111567,1189.92,-16.78,-18.0699999999999,984717,295548,"CCGCD"
"BKS Estate Trust",-98.5252777777778,29.9702777777778,1371,1373.17,310,5.563,"PVC","246","246","60","Middle Trinity","Kh Kcc",2754,6804312,1245.57395348837,1242.49,1221.27,1270.4,49.1300000000001,14.3901437371663,1237.28,-1.35000000000014,-1.23000000000002,983131,295813,"CCGCD"
"Sabinas Creek Ranch",-98.6812777,29.86525,1452,1454.5,419,4.95,"PVC","419","240","10","Middle Trinity","Kgrl Kh Kcc",7971,6811211,1349.20815789474,1349.11,1346.59,1352.4,5.81000000000017,3.14852840520192,1346.62,-0.130000000000109,-1.23000000000002,NA,NA,"CCGCD"
"Greco Bend",-98.7608611111111,29.9775555555556,1481,1484,400,4.95,"PVC","400","260","30","Middle Trinity","Kh Kcc",8118,6802302,1255.5094,1257.11,1245.29,1262.15,16.8600000000001,2.05886379192334,1261.04,0.0799999999999272,6.44000000000005,NA,NA,"CCGCD"
"Circle J Well (House)",-98.7868888,29.7623611,1594,1595,NA,4.95,"PVC","unknown","unknown","unknown","Upper Trinity","Kgru",5637,6810913,1559.49332075472,1558.18,1553.5,1573.77,20.27,11.1813826146475,1559,-0.650000000000091,1.32999999999993,984712.8,294544.5,"CCGCD"
"Champee Fire Well",-98.8676944444444,29.8095833333333,1985,1986.5,179,4,"Steel",NA,NA,NA,"Edwards-Trinity","Kft",3991,6810405,1827.8407518797,1827.435,1823.08,1832.61,9.5300000000002,11.2197125256674,1827.2,0.160000000000082,0.3900000000001,985203.7,294834.5,"CCGCD"
"Alamo Springs",-98.8012169444444,30.1090877777778,1987,1988.25,155,4.95,"PVC","155","unknown","unknown","Edwards-Trinity","Kft",6713,5758203,1925.43034615385,1928.1,1904.96,1928.57,23.6099999999999,10.9514031485284,1928.53,0,-0.0099999999999909,984804.381,300632.716,"CCGCD"
"The Crossing LT",-98.556967,29.904513,1140,1141.33,450,6.625,"Steel","336","336","6","Lower Trinity","Khs",105,6804806,933.565415472779,931.2,859.8,1010.58,150.78,14.7268993839836,0,-0.200000000000045,NA,983325,295416,"CCGCD"
"Waterstone Rio Frio",-98.5330555555555,29.8872222222222,1100,1101.83,328,5,"PVC","328","150","25","Lower Trinity","Ks Khs",3738,6804916,928.904319148937,906.085,838.7,1046,207.3,21.0102669404517,851.7,0.220000000000027,-0.889999999999986,983159,295314,"CCGCD"
"La Cancion",-98.6075,29.9138888888889,1310,1312.17,560,6.625,"PVC","340","340","3","Lower Trinity","Khs",5193,6804706,1067.27209439528,1076.6,975.76,1096.5,120.74,14.3901437371663,1062.4,-1.67000000000007,20.3600000000001,983627,295450,"CCGCD"
"Rust Rd TWDB",-98.8230555555556,29.9094444444444,1426,1429,708,6.75,"Steel_PVC","485_668-708","485","50","Lower Trinity","Khs",7835,6802807,1255.72529715762,1249.29,1222.12,1340.2,118.08,43.9342915811088,1234.49,-0.149999999999864,1.10000000000014,984923.8,295434.9,"CCGCD"
"Kendall County R&B",-98.8787777777778,29.9461944444444,1468,1469.42,82,5,"PVC","82","45","34","Middle Trinity","Kgrl",5434,6801608,1412.99375,1412.51,1410.24,1420.1,9.8599999999999,12.4873374401095,1412.5,-0.220000000000027,0.259999999999991,985243.6,295646.3,"CCGCD"
