"site_id","name","basin","county","latitude","longitude","stream_segment","date","sample_depth","flow_severity","pH","conductivity","dissolved_oxygen","air_temp","water_temp","ecoli_avg","secchi_disk_transparency","nitrate_nitrogen","year"
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2021-04-27",0.2,"Low",8,470,6.45,23.5,22.5,NA,0.3,NA,2021
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2021-04-27",0.2,"Low",NA,NA,NA,NA,NA,10,NA,NA,2021
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2021-05-28",0.2,"Normal",NA,NA,NA,NA,NA,10,NA,NA,2021
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2021-07-27",0.3,"Normal",NA,NA,NA,NA,NA,0,NA,NA,2021
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2021-10-30",0.2,"High",8,476,9.6,19,19,NA,0.3,NA,2021
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2021-10-30",0.2,"High",NA,NA,NA,NA,NA,0,NA,NA,2021
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2021-11-24",0.33,"High",7.9,544,9.6,25.1,18,NA,0.3,NA,2021
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2021-11-24",0.3,NA,NA,NA,NA,NA,NA,0,NA,NA,2021
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"1996-12-26",0.3,"Low",7.8,630,10.6,17.5,12,NA,NA,NA,1996
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2000-05-30",0.07,"Low",7.8,680,5.5,27,25.5,NA,NA,NA,2000
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2001-02-24",0.2,"Normal",8,430,10.1,21,19,NA,NA,NA,2001
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2001-03-23",0.1,"Normal",8.5,430,10.6,22,19,NA,NA,NA,2001
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2001-08-24",0.09,"No flow",8,520,7.6,32.5,32,NA,NA,NA,2001
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2001-10-25",0.25,"Normal",7.9,470,9.75,22,21.5,NA,NA,NA,2001
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2002-01-23",0.25,"Normal",7.8,530,9.9,22.3,18,NA,NA,NA,2002
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2002-03-23",0.17,"Normal",8,530,11,18,17,NA,NA,NA,2002
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2002-08-30",0.15,"Normal",8.25,530,7.3,26,25,NA,NA,NA,2002
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2002-10-29",0.2,"High",7.8,490,8.45,22,19.5,NA,NA,NA,2002
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2003-05-27",0.15,"Normal",7.8,600,7.35,24,22.5,NA,0.29,NA,2003
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2003-06-26",0.15,"Normal",7.9,560,8,27.5,27,NA,NA,NA,2003
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2003-07-21",0.12,"Normal",7.8,520,8.45,28.5,28,NA,NA,NA,2003
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2003-08-27",0.13,"Normal",7.9,690,6.85,30,27,NA,NA,NA,2003
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2004-01-17",0.97,"Normal",8,390,8.4,19,16,NA,NA,NA,2004
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2004-02-19",0.2,"Normal",8.2,500,11.15,20.5,15.5,NA,0,NA,2004
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2004-04-15",0.2,"High",NA,430,7.65,23,18,NA,NA,NA,2004
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2004-05-26",0.2,"Normal",8,530,6.55,29,25,NA,NA,NA,2004
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2004-08-20",0.18,"Normal",8.1,550,6.4,33,27,NA,NA,NA,2004
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2004-10-23",0.3,"High",8.1,260,8.6,22,21,NA,0,NA,2004
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2005-01-21",0.15,"Normal",8.3,540,9.95,18.5,15.5,NA,NA,NA,2005
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2005-04-19",0.3,"Normal",NA,500,7.25,24,20.5,NA,NA,NA,2005
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2005-08-25",0.2,"Normal",8.2,730,8.4,30,28,NA,0,NA,2005
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2006-04-21",0.25,"Normal",7.5,340,5.5,19.5,19,NA,0.17,NA,2006
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2006-05-19",0.2,"Normal",7.5,720,5.9,22,21,NA,NA,NA,2006
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2006-06-15",0.1,"Low",7.8,810,6.05,26,25.5,NA,NA,NA,2006
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2006-07-21",0.2,"Low",8,790,5.85,25.5,25,NA,NA,NA,2006
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2006-08-21",0.15,"Low",8,570,5.9,26,25,NA,NA,NA,2006
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2006-09-20",0.11,"Low",7.7,770,5.9,18.5,20.5,NA,NA,NA,2006
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2006-10-20",0.16,"Low",8,810,7.05,16,16.5,NA,NA,NA,2006
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2006-11-17",0.15,"Low",7.5,910,7.2,15.5,12,NA,NA,NA,2006
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2007-04-19",0.3,"Normal",8,930,5.9,17,18.5,NA,NA,NA,2007
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2007-05-18",0.3,"Normal",8,460,6.65,20,22,NA,NA,NA,2007
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2007-06-22",0.3,"High",8,470,6.9,24,24,NA,0.5,NA,2007
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2007-07-20",0.3,"Normal",8,510,6.65,24,24,NA,NA,NA,2007
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2007-08-24",0.3,"Flood",8,480,6.15,26,25,NA,NA,NA,2007
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2007-09-26",0.3,"Normal",8,530,6.8,24,24,NA,NA,NA,2007
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2007-10-18",0.3,"Normal",8,540,6.75,24,23,NA,0.47,NA,2007
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2007-11-16",0.25,"Low",8.5,550,8.15,13,15,NA,NA,NA,2007
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2007-12-21",0.25,"Normal",8.5,580,8.25,14.5,12,NA,NA,NA,2007
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2008-01-17",0.25,"Normal",8,600,8.5,3,10,NA,NA,NA,2008
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2008-02-22",0.25,"Normal",8,630,7.15,13,15,NA,NA,NA,2008
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2008-03-21",0.32,"Normal",8,580,8.4,13,15,NA,NA,NA,2008
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2008-04-18",0.32,"Normal",8,580,6.9,13,18,NA,NA,NA,2008
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2008-05-15",0.16,"Normal",7.8,550,5.65,20.5,23,NA,NA,NA,2008
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2008-06-20",0.2,"Low",NA,820,5.7,24,25,NA,NA,NA,2008
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2008-07-18",0.2,"Low",8,850,5.7,25,25,NA,NA,NA,2008
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2008-08-22",0.2,"Low",8,620,5.95,25,25,NA,NA,NA,2008
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2008-09-19",0.2,"Low",8,800,6.9,21,20,NA,NA,NA,2008
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2008-10-17",0.2,"Low",8,670,6.9,16,18,NA,NA,NA,2008
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2008-11-21",0.25,"Low",7.5,930,7.2,10,12,NA,NA,NA,2008
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2008-12-19",0.2,"Low",7.5,880,6.1,21,16,NA,NA,NA,2008
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2009-01-16",0.25,"Low",8,890,9.8,9,8.5,NA,NA,NA,2009
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2009-02-20",0.22,"Low",8,820,9.2,12,11,NA,NA,NA,2009
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2009-03-20",0.2,"Low",7.5,830,7,13,16,NA,NA,NA,2009
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2009-04-17",0.25,"Low",8,860,6.35,17,18,NA,NA,NA,2009
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2009-05-15",0.2,"Low",8,900,6,25,23,NA,NA,NA,2009
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2009-06-19",0.13,"Low",7.8,930,4.85,23.5,25,NA,NA,NA,2009
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2009-07-17",0.2,"Low",8,950,5.2,28,25,NA,NA,NA,2009
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2009-08-20",0.2,"Low",8,980,5.2,27,26,NA,0.25,NA,2009
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2009-09-17",0.25,"Low",8,770,6.95,26,24,NA,NA,NA,2009
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2009-10-16",0.2,"Low",8,730,6.2,17,21,NA,NA,NA,2009
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2009-11-19",0.25,"Normal",8,690,7.8,19,16,NA,NA,NA,2009
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2009-12-15",0.25,"Normal",8,650,9,14,11,NA,NA,NA,2009
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2009-12-18",0.25,"Normal",8,650,9,14,11,NA,NA,NA,2009
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2010-01-21",0.2,"Normal",7.9,610,6,20,20.5,NA,NA,NA,2010
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2010-01-22",0.3,"Normal",NA,620,8.5,16,14,NA,NA,NA,2010
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2010-03-17",0.3,"Normal",7.8,530,5.15,25,26,NA,NA,NA,2010
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2010-03-18",0.3,"Normal",8,540,8,14,15,NA,NA,NA,2010
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2010-04-15",0.35,"Normal",8,560,7.05,18,19,NA,NA,NA,2010
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2010-05-20",0.3,"High",8,480,7.1,22,23,NA,NA,NA,2010
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2010-07-14",0.25,"Normal",8,600,6.7,NA,26,NA,NA,NA,2010
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2010-08-19",0.2,"Low",8,NA,5.9,27,26.5,NA,NA,NA,2010
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2010-10-21",0.2,"Normal",7.9,610,6,20,20.5,NA,NA,NA,2010
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2011-01-20",0.15,"Normal",7.8,590,6.85,7,14,NA,0.34,NA,2011
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2011-02-17",0.2,"Normal",7.8,750,5.75,17.5,19,NA,0.36,NA,2011
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2011-04-20",0.15,"Low",8,850,5,23,23,NA,0.3,NA,2011
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2011-06-16",0.15,"Low",7.8,920,5,24,26,NA,0.29,NA,2011
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2012-01-19",0.22,"Low",8,840,8.3,14.5,13,NA,NA,NA,2012
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2012-02-16",0.2,"Low",8,790,7.8,NA,15,NA,NA,NA,2012
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2012-03-15",0.15,"Normal",7.8,710,5.6,18,17,NA,NA,NA,2012
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2012-04-19",0.17,"Normal",7.6,760,4.9,16,20,NA,NA,NA,2012
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2012-05-17",0.17,"Normal",7.7,670,5.05,NA,21,NA,NA,NA,2012
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2012-06-21",0.15,"Low",7.8,900,4.2,23.5,25,NA,NA,NA,2012
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2012-07-19",0.17,"Low",7.8,870,4.65,23,24.5,NA,NA,NA,2012
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2012-08-16",0.15,"Low",7.8,960,4.05,24,25,NA,NA,NA,2012
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2012-09-20",0.15,"Normal",7.6,730,5.1,21,22.5,NA,NA,NA,2012
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2012-10-18",0.18,"Low",8,790,5,NA,21,NA,NA,NA,2012
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2012-11-15",0.18,"Low",8,820,7.1,10,14,NA,NA,NA,2012
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2012-12-20",0.2,"Normal",7.8,840,5.23,5.5,12.5,30,NA,0,2012
