"id","date","pcp_in","year","month","day"
"CICT2",2013-03-18,0,2013,3,18
"CICT2",2013-03-19,0,2013,3,19
"CICT2",2013-03-20,0,2013,3,20
"CICT2",2013-03-21,0,2013,3,21
"CICT2",2013-03-22,0,2013,3,22
"CICT2",2013-03-23,0,2013,3,23
"CICT2",2013-03-24,0,2013,3,24
"CICT2",2013-03-25,0,2013,3,25
"CICT2",2013-03-26,0,2013,3,26
"CICT2",2013-03-27,0,2013,3,27
"CICT2",2013-03-28,0,2013,3,28
"CICT2",2013-03-29,0,2013,3,29
"CICT2",2013-03-30,0,2013,3,30
"CICT2",2013-03-31,0,2013,3,31
"CICT2",2013-04-01,0.04,2013,4,1
"CICT2",2013-04-02,0,2013,4,2
"CICT2",2013-04-03,0.37,2013,4,3
"CICT2",2013-04-04,0,2013,4,4
"CICT2",2013-04-05,0,2013,4,5
"CICT2",2013-04-06,0,2013,4,6
"CICT2",2013-04-07,0,2013,4,7
"CICT2",2013-04-08,0,2013,4,8
"CICT2",2013-04-09,0,2013,4,9
"CICT2",2013-04-10,0,2013,4,10
"CICT2",2013-04-11,0,2013,4,11
"CICT2",2013-04-12,0,2013,4,12
"CICT2",2013-04-13,0,2013,4,13
"CICT2",2013-04-14,0,2013,4,14
"CICT2",2013-04-15,0,2013,4,15
"CICT2",2013-04-16,0,2013,4,16
"CICT2",2013-04-17,0,2013,4,17
"CICT2",2013-04-18,0,2013,4,18
"CICT2",2013-04-19,0,2013,4,19
"CICT2",2013-04-20,0,2013,4,20
"CICT2",2013-04-21,0,2013,4,21
"CICT2",2013-04-22,0,2013,4,22
"CICT2",2013-04-23,0,2013,4,23
"CICT2",2013-04-24,0,2013,4,24
"CICT2",2013-04-25,0,2013,4,25
"CICT2",2013-04-26,0,2013,4,26
"CICT2",2013-04-27,0,2013,4,27
"CICT2",2013-04-28,0,2013,4,28
"CICT2",2013-04-29,0,2013,4,29
"CICT2",2013-04-30,0,2013,4,30
"CICT2",2013-05-01,0,2013,5,1
"CICT2",2013-05-02,0,2013,5,2
"CICT2",2013-05-03,0,2013,5,3
"CICT2",2013-05-04,0,2013,5,4
"CICT2",2013-05-05,0,2013,5,5
"CICT2",2013-05-06,0,2013,5,6
"CICT2",2013-05-07,0,2013,5,7
"CICT2",2013-05-08,0,2013,5,8
"CICT2",2013-05-09,0,2013,5,9
"CICT2",2013-05-10,0,2013,5,10
"CICT2",2013-05-11,0,2013,5,11
"CICT2",2013-05-12,0,2013,5,12
"CICT2",2013-05-13,0,2013,5,13
"CICT2",2013-05-14,0,2013,5,14
"CICT2",2013-05-15,0,2013,5,15
"CICT2",2013-05-16,0,2013,5,16
"CICT2",2013-05-17,0,2013,5,17
"CICT2",2013-05-18,0,2013,5,18
"CICT2",2013-05-19,0,2013,5,19
"CICT2",2013-05-20,0,2013,5,20
"CICT2",2013-05-21,0,2013,5,21
"CICT2",2013-05-22,0,2013,5,22
"CICT2",2013-05-23,0,2013,5,23
"CICT2",2013-05-24,0,2013,5,24
"CICT2",2013-05-25,0.46,2013,5,25
"CICT2",2013-05-26,0,2013,5,26
"CICT2",2013-05-27,0,2013,5,27
"CICT2",2013-05-28,0,2013,5,28
"CICT2",2013-05-29,0,2013,5,29
"CICT2",2013-05-30,0,2013,5,30
"CICT2",2013-06-01,0,2013,6,1
"CICT2",2013-06-02,0,2013,6,2
"CICT2",2013-06-03,0,2013,6,3
"CICT2",2013-06-04,0,2013,6,4
"CICT2",2018-10-26,0.16,2018,10,26
"CICT2",2018-10-27,0.13,2018,10,27
"CICT2",2018-10-28,0.05,2018,10,28
"CICT2",2018-10-29,0.01,2018,10,29
"CICT2",2018-10-30,0.06,2018,10,30
"CICT2",2018-10-31,0.06,2018,10,31
"CICT2",2018-11-01,0.01,2018,11,1
"CICT2",2018-11-02,0,2018,11,2
"CICT2",2018-11-03,0.01,2018,11,3
"CICT2",2018-11-04,0,2018,11,4
"CICT2",2018-11-05,0,2018,11,5
"CICT2",2018-11-06,0,2018,11,6
"CICT2",2018-11-07,0,2018,11,7
"CICT2",2018-11-08,0,2018,11,8
"CICT2",2018-11-09,0,2018,11,9
"CICT2",2018-11-10,0,2018,11,10
"CICT2",2018-11-11,0.01,2018,11,11
"CICT2",2018-11-12,0,2018,11,12
"CICT2",2018-11-13,0,2018,11,13
"CICT2",2018-11-14,0.01,2018,11,14
"CICT2",2018-11-15,0.36,2018,11,15
"CICT2",2018-11-16,0,2018,11,16
"CICT2",2018-11-17,0,2018,11,17
"CICT2",2018-11-18,0,2018,11,18
"CICT2",2018-11-19,0,2018,11,19
"CICT2",2018-11-20,0,2018,11,20
"CICT2",2018-11-21,0,2018,11,21
"CICT2",2018-11-22,0.1,2018,11,22
"CICT2",2018-11-23,0.01,2018,11,23
"CICT2",2018-11-24,0,2018,11,24
"CICT2",2018-11-25,0,2018,11,25
"CICT2",2018-11-26,0,2018,11,26
"CICT2",2018-11-27,0,2018,11,27
"CICT2",2018-11-28,0,2018,11,28
"CICT2",2018-11-29,0,2018,11,29
"CICT2",2018-11-30,0,2018,11,30
"CICT2",2018-12-01,0,2018,12,1
"CICT2",2018-12-02,0,2018,12,2
"CICT2",2018-12-03,0,2018,12,3
"CICT2",2018-12-04,0,2018,12,4
"CICT2",2018-12-05,0,2018,12,5
"CICT2",2018-12-06,0,2018,12,6
"CICT2",2018-12-07,0.24,2018,12,7
"CICT2",2018-12-08,0.56,2018,12,8
"CICT2",2018-12-09,1.09,2018,12,9
"CICT2",2018-12-10,0,2018,12,10
