"site","mean_depth_ft","month","year","julian"
5758402,164.675,6,2009,"152"
5758402,166.675,7,2009,"182"
5758402,168.81,8,2009,"213"
5758402,169.295,9,2009,"244"
5758402,169.02,10,2009,"274"
5758402,169.165,11,2009,"305"
5758402,169.4,12,2009,"335"
5758402,169.05,1,2010,"1"
5758402,168.375,2,2010,"32"
5758402,168.105,3,2010,"60"
5758402,167.85,4,2010,"91"
5758402,167.725,5,2010,"121"
5758402,168.37,6,2010,"152"
5758402,168.85,7,2010,"182"
5758402,170.37,8,2010,"213"
5758402,170.06,9,2010,"244"
5758402,171.635,10,2010,"274"
5758402,171.045,11,2010,"305"
5758402,171,12,2010,"335"
5758402,170.685,1,2011,"1"
5758402,171.055,2,2011,"32"
5758402,170.76,3,2011,"60"
5758402,171.32,4,2011,"91"
5758402,172.365,5,2011,"121"
5758402,173.05,6,2011,"152"
5758402,174.345,7,2011,"182"
5758402,175.6,8,2011,"213"
5758402,177.25,9,2011,"244"
5758402,177.295,10,2011,"274"
5758402,177.41,11,2011,"305"
5758402,177.085,12,2011,"335"
5758402,176.965,1,2012,"1"
5758402,177.005,2,2012,"32"
5758402,176.525,3,2012,"61"
5758402,176.605,4,2012,"92"
5758402,177.255,5,2012,"122"
5758402,177.775,6,2012,"153"
5758402,178.155,7,2012,"183"
5758402,179.8,8,2012,"214"
5758402,180.04,9,2012,"245"
5758402,179.565,10,2012,"275"
5758402,179.92,11,2012,"306"
5758402,179.7,12,2012,"336"
5758402,179.32,1,2013,"1"
5758402,179.33,2,2013,"32"
5758402,179.48,3,2013,"60"
5758402,179.905,4,2013,"91"
5758402,179.45,5,2013,"121"
5758402,180.375,6,2013,"152"
5758402,180.915,7,2013,"182"
5758402,182.9,8,2013,"213"
5758402,182.27,9,2013,"244"
5758402,182.435,10,2013,"274"
5758402,182.34,11,2013,"305"
5758402,182.105,12,2013,"335"
5758402,182.25,1,2014,"1"
5758402,182.015,2,2014,"32"
5758402,181.985,3,2014,"60"
5758402,182.235,4,2014,"91"
5758402,182.36,5,2014,"121"
5758402,182,6,2014,"152"
5758402,183.1,7,2014,"182"
5758402,184.1,8,2014,"213"
5758402,183.845,9,2014,"244"
5758402,185.985,10,2014,"274"
5758402,183.565,11,2014,"305"
5758402,183.09,12,2014,"335"
5758402,183.08,1,2015,"1"
5758402,182.4,2,2015,"32"
5758402,181.79,3,2015,"60"
5758402,181.21,4,2015,"91"
5758402,180.47,5,2015,"121"
5758402,179.74,6,2015,"152"
5758402,179.495,7,2015,"182"
5758402,179.575,8,2015,"213"
5758402,180.195,9,2015,"244"
5758402,180.25,10,2015,"274"
5758402,179.45,11,2015,"305"
5758402,178.8,12,2015,"335"
5758402,178.06,1,2016,"1"
5758402,178.205,2,2016,"32"
5758402,177.455,3,2016,"61"
5758402,176.81,4,2016,"92"
5758402,175.965,5,2016,"122"
5758402,176,6,2016,"153"
5758402,176.27,7,2016,"183"
5758402,175.965,8,2016,"214"
5758402,175.68,9,2016,"245"
5758402,175.05,10,2016,"275"
5758402,174.245,11,2016,"306"
5758402,173.48,12,2016,"336"
5758402,172.86,1,2017,"1"
5758402,172.395,2,2017,"32"
5758402,171.84,3,2017,"60"
5758402,171.61,4,2017,"91"
5758402,171.255,5,2017,"121"
5758402,171.51,6,2017,"152"
5758402,172.24,7,2017,"182"
5758402,172.68,8,2017,"213"
5758402,173.195,9,2017,"244"
5758402,173.59,10,2017,"274"
5758402,173.54,11,2017,"305"
5758402,173.565,12,2017,"335"
5758402,173.24,1,2018,"1"
5758402,173.275,2,2018,"32"
5758402,173.165,3,2018,"60"
5758402,172.99,4,2018,"91"
5758402,173.485,5,2018,"121"
5758402,175.12,6,2018,"152"
5758402,176.15,7,2018,"182"
5758402,177.65,8,2018,"213"
5758402,177.29,9,2018,"244"
5758402,179,10,2018,"274"
5758402,176.375,11,2018,"305"
5758402,176.37,12,2018,"335"
5758402,175.685,1,2019,"1"
5758402,174.91,2,2019,"32"
5758402,174.39,3,2019,"60"
5758402,174.235,4,2019,"91"
5758402,173.46,5,2019,"121"
5758402,173.295,6,2019,"152"
5758402,173.735,7,2019,"182"
5758402,175.085,8,2019,"213"
5758402,175.765,9,2019,"244"
5758402,176.64,10,2019,"274"
5758402,176.785,11,2019,"305"
5758402,177.54,12,2019,"335"
5758402,177.41,1,2020,"1"
5758402,177.305,2,2020,"32"
5758402,177.165,3,2020,"61"
5758402,177.09,4,2020,"92"
5758402,177.66,5,2020,"122"
5758402,178.8,6,2020,"153"
5758402,180.46,7,2020,"183"
5758402,182.26,8,2020,"214"
5758402,181.555,9,2020,"245"
5758402,181.885,10,2020,"275"
5758402,183.115,11,2020,"306"
5758402,183.06,12,2020,"336"
5758402,183.595,1,2021,"1"
5758402,183.675,2,2021,"32"
5758402,184.11,3,2021,"60"
5758402,184.765,4,2021,"91"
5758402,184.795,5,2021,"121"
5758402,184.17,6,2021,"152"
5758402,184.28,7,2021,"182"
5758402,185.445,8,2021,"213"
5758402,185.755,9,2021,"244"
5758402,185.37,10,2021,"274"
5758402,185.055,11,2021,"305"
5758402,184.945,12,2021,"335"
5758402,184.67,1,2022,"1"
5758402,184.01,2,2022,"32"
5758402,184.915,3,2022,"60"
6801314,114.85,1,2000,"1"
6801314,108.58,12,2000,"336"
6801314,110.33,1,2001,"1"
6801314,102.31,2,2001,"32"
6801314,95.81,3,2001,"60"
6801314,94.6333333333333,4,2001,"91"
6801314,96.08,5,2001,"121"
6801314,101.05,6,2001,"152"
6801314,108.86,7,2001,"182"
6801314,117.305,8,2001,"213"
6801314,117.683333333333,9,2001,"244"
6801314,117.143333333333,10,2001,"274"
6801314,111.3975,11,2001,"305"
6801314,102.42,12,2001,"335"
6801314,99.5066666666667,1,2002,"1"
6801314,97.9933333333333,2,2002,"32"
6801314,97.42,3,2002,"60"
6801314,112.835,11,2005,"305"
6801314,114.835,12,2005,"335"
6801314,113.56,1,2006,"1"
6801314,113.875,2,2006,"32"
6801314,116.25,3,2006,"60"
6801314,120.25,4,2006,"91"
6801314,122.91,5,2006,"121"
6801314,128.725,6,2006,"152"
6801314,134.125,7,2006,"182"
6801314,138.065,8,2006,"213"
6801314,137.07,9,2006,"244"
6801314,134.275,10,2006,"274"
6801314,133.78,11,2006,"305"
6801314,133.415,12,2006,"335"
6801314,132.125,1,2007,"1"
6801314,130.315,2,2007,"32"
6801314,127.625,3,2007,"60"
6801314,115.715,4,2007,"91"
6801314,109.685,5,2007,"121"
6801314,101.905,6,2007,"152"
6801314,95.37,7,2007,"182"
6801314,86.535,8,2007,"213"
6801314,80.215,9,2007,"244"
6801314,85.91,10,2007,"274"
6801314,91.99,11,2007,"305"
6801314,94.225,12,2007,"335"
6801314,96.275,1,2008,"1"
6801314,97.545,2,2008,"32"
6801314,99.125,3,2008,"61"
6801314,106.51,4,2008,"92"
6801314,110.4,5,2008,"122"
6801314,120.02,6,2008,"153"
6801314,122.665,7,2008,"183"
6801314,127.53,8,2008,"214"
6801314,129.78,9,2008,"245"
6801314,131.37,10,2008,"275"
6801314,131.29,11,2008,"306"
6801314,130.09,12,2008,"336"
6801314,129.375,1,2009,"1"
6801314,129.385,2,2009,"32"
6801314,131.31,3,2009,"60"
6801314,133.85,4,2009,"91"
6801314,136.445,5,2009,"121"
6801314,139.675,6,2009,"152"
6801314,144.485,7,2009,"182"
6801314,143.66,8,2009,"213"
6801314,140.035,9,2009,"244"
6801314,140.905,10,2009,"274"
6801314,140.165,11,2009,"305"
6801314,139.8,12,2009,"335"
6801314,138.825,1,2010,"1"
6801314,131.135,2,2010,"32"
6801314,124.825,3,2010,"60"
6801314,122.105,4,2010,"91"
6801314,119.96,5,2010,"121"
6801314,126.17,6,2010,"152"
6801314,126.195,7,2010,"182"
6801314,135.085,8,2010,"213"
6801314,130.415,9,2010,"244"
6801314,129.725,10,2010,"274"
6801314,130.095,11,2010,"305"
6801314,130.43,12,2010,"335"
6801314,126.405,1,2011,"1"
6801314,126.665,2,2011,"32"
6801314,127.075,3,2011,"60"
6801314,132.555,4,2011,"91"
6801314,138.405,5,2011,"121"
6801314,145.245,6,2011,"152"
6801314,148.52,7,2011,"182"
6801314,149.9,8,2011,"213"
6801314,150.6,9,2011,"244"
6801314,148.665,10,2011,"274"
6801314,147.05,11,2011,"305"
6801314,145.885,12,2011,"335"
6801314,143.6,1,2012,"1"
6801314,141.54,2,2012,"32"
6801314,142.085,3,2012,"61"
6801314,142.7,4,2012,"92"
6801314,150.005,5,2012,"122"
6801314,164.7,6,2012,"153"
6801314,160.695,7,2012,"183"
6801314,166.9,8,2012,"214"
6801314,167.61,9,2012,"245"
6801314,163.915,10,2012,"275"
6801314,157.29,11,2012,"306"
6801314,160.205,12,2012,"336"
6801314,157.615,1,2013,"1"
6801314,155.42,2,2013,"32"
6801314,157.695,3,2013,"60"
6801314,156.5,4,2013,"91"
6801314,155.175,5,2013,"121"
6801314,169.34,6,2013,"152"
6801314,174.475,7,2013,"182"
6801314,177.34,8,2013,"213"
6801314,168.54,9,2013,"244"
6801314,161.25,10,2013,"274"
6801314,164.035,11,2013,"305"
6801314,161.025,12,2013,"335"
6801314,162.935,1,2014,"1"
6801314,163.985,2,2014,"32"
6801314,162.065,3,2014,"60"
6801314,162.44,4,2014,"91"
6801314,160.555,5,2014,"121"
6801314,163.56,6,2014,"152"
6801314,169.31,7,2014,"182"
6801314,171.625,8,2014,"213"
6801314,162.055,9,2014,"244"
6801314,160.33,10,2014,"274"
6801314,159.75,11,2014,"305"
6801314,160.535,12,2014,"335"
6801314,167.11,1,2015,"1"
6801314,174.39,2,2015,"32"
6801314,162.71,3,2015,"60"
6801314,160.105,4,2015,"91"
6801314,154.57,5,2015,"121"
6801314,146.255,6,2015,"152"
6801314,153.73,7,2015,"182"
6801314,159.14,8,2015,"213"
6801314,161.035,9,2015,"244"
6801314,158.545,10,2015,"274"
6801314,158.375,11,2015,"305"
6801314,158.22,12,2015,"335"
6801314,156.685,1,2016,"1"
6801314,169.185,2,2016,"32"
6801314,170.73,3,2016,"61"
6801314,167.645,4,2016,"92"
6801314,160.775,5,2016,"122"
6801314,151.855,6,2016,"153"
6801314,154.675,7,2016,"183"
6801314,155.66,8,2016,"214"
6801314,154.975,9,2016,"245"
6801314,147.965,10,2016,"275"
6801314,150.255,11,2016,"306"
6801314,149.69,12,2016,"336"
6801314,148.19,1,2017,"1"
6801314,148.265,2,2017,"32"
6801314,148.54,3,2017,"60"
6801314,148.795,4,2017,"91"
6801314,150.685,5,2017,"121"
6801314,152.43,6,2017,"152"
6801314,156.35,7,2017,"182"
6801314,156.535,8,2017,"213"
6801314,157.575,9,2017,"244"
6801314,152.615,10,2017,"274"
6801314,152.755,11,2017,"305"
6801314,151.035,12,2017,"335"
6801314,166.57,1,2018,"1"
6801314,150.38,2,2018,"32"
6801314,156.34,3,2018,"60"
6801314,155.565,4,2018,"91"
6801314,155.175,5,2018,"121"
6801314,165.015,6,2018,"152"
6801314,174.755,7,2018,"182"
6801314,177.875,8,2018,"213"
6801314,170.55,9,2018,"244"
6801314,159.51,10,2018,"274"
6801314,156.38,11,2018,"305"
6801314,149.925,12,2018,"335"
6801314,143.725,1,2019,"1"
6801314,151.44,2,2019,"32"
6801314,151.85,3,2019,"60"
6801314,150.685,4,2019,"91"
6801314,150.4,5,2019,"121"
6801314,150.935,6,2019,"152"
6801314,157.035,7,2019,"182"
6801314,163.485,8,2019,"213"
6801314,164.415,9,2019,"244"
6801314,166.685,10,2019,"274"
6801314,167.505,11,2019,"305"
6801314,160.085,12,2019,"335"
6801314,151.185,1,2020,"1"
6801314,159.845,2,2020,"32"
6801314,158.285,3,2020,"61"
6801314,160.12,4,2020,"92"
6801314,162.92,5,2020,"122"
6801314,163.595,6,2020,"153"
6801314,170.985,7,2020,"183"
6801314,172.275,8,2020,"214"
6801314,166.38,9,2020,"245"
6801314,165.69,10,2020,"275"
6801314,166.97,11,2020,"306"
6801314,165.71,12,2020,"336"
6801314,168.115,1,2021,"1"
6801314,169.28,2,2021,"32"
6801314,171.765,3,2021,"60"
6801314,173.84,4,2021,"91"
6801314,176.185,5,2021,"121"
6801314,177.125,6,2021,"152"
6801314,176.615,7,2021,"182"
6801314,175.445,8,2021,"213"
6801314,174.49,9,2021,"244"
6801314,175.31,10,2021,"274"
6801314,176.09,11,2021,"305"
6801314,177.285,12,2021,"335"
6801314,177.255,1,2022,"1"
6801314,175.745,2,2022,"32"
6801314,176.205,3,2022,"60"
6801608,55.7233333333333,8,2009,"213"
6801608,55.725,9,2009,"244"
6801608,55.505,10,2009,"274"
6801608,55.61,11,2009,"305"
6801608,55.6,12,2009,"335"
6801608,55.55,1,2010,"1"
6801608,54.455,2,2010,"32"
6801608,54.045,3,2010,"60"
6801608,53.195,4,2010,"91"
6801608,52.85,5,2010,"121"
6801608,53.51,6,2010,"152"
6801608,54.565,7,2010,"182"
6801608,54.81,8,2010,"213"
6801608,54.43,9,2010,"244"
6801608,55.005,10,2010,"274"
6801608,55.18,11,2010,"305"
6801608,55.3,12,2010,"335"
6801608,55.39,1,2011,"1"
6801608,55.435,2,2011,"32"
6801608,55.485,3,2011,"60"
6801608,55.47,4,2011,"91"
6801608,55.575,5,2011,"121"
6801608,55.62,6,2011,"152"
6801608,55.66,7,2011,"182"
6801608,55.715,8,2011,"213"
6801608,55.73,9,2011,"244"
6801608,55.755,10,2011,"274"
6801608,55.735,11,2011,"305"
6801608,55.595,12,2011,"335"
6801608,55.67,1,2012,"1"
6801608,55.7,2,2012,"32"
6801608,55.455,3,2012,"61"
6801608,55.49,4,2012,"92"
6801608,55.39,5,2012,"122"
6801608,55.515,6,2012,"153"
6801608,55.525,7,2012,"183"
6801608,55.6,8,2012,"214"
6801608,55.625,9,2012,"245"
6801608,55.595,10,2012,"275"
6801608,55.63,11,2012,"306"
6801608,55.685,12,2012,"336"
6801608,55.66,1,2013,"1"
6801608,55.62,2,2013,"32"
6801608,55.745,3,2013,"60"
6801608,55.74,4,2013,"91"
6801608,55.675,5,2013,"121"
6801608,55.64,6,2013,"152"
6801608,55.725,7,2013,"182"
6801608,55.76,8,2013,"213"
6801608,55.73,9,2013,"244"
6801608,55.61,10,2013,"274"
6801608,55.58,11,2013,"305"
6801608,55.62,12,2013,"335"
6801608,55.69,1,2014,"1"
6801608,55.715,2,2014,"32"
6801608,55.785,3,2014,"60"
6801608,55.8,4,2014,"91"
6801608,55.515,5,2014,"121"
6801608,55.195,6,2014,"152"
6801608,55.5,7,2014,"182"
6801608,55.805,8,2014,"213"
6801608,55.715,9,2014,"244"
6801608,55.77,10,2014,"274"
6801608,55.595,11,2014,"305"
6801608,55.675,12,2014,"335"
6801608,55.535,1,2015,"1"
6801608,55.5,2,2015,"32"
6801608,55.49,3,2015,"60"
6801608,55.405,4,2015,"91"
6801608,51.6,5,2015,"121"
6801608,48.76,6,2015,"152"
6801608,49.53,7,2015,"182"
6801608,53.29,8,2015,"213"
6801608,54.64,9,2015,"244"
6801608,55.055,10,2015,"274"
6801608,55.2,11,2015,"305"
6801608,54.85,12,2015,"335"
6801608,54.99,1,2016,"1"
6801608,55.12,2,2016,"32"
6801608,54.985,3,2016,"61"
6801608,54.11,4,2016,"92"
6801608,50.305,5,2016,"122"
6801608,48.405,6,2016,"153"
6801608,50.58,7,2016,"183"
6801608,52.595,8,2016,"214"
6801608,54.54,9,2016,"245"
6801608,54.41,10,2016,"275"
6801608,55.015,11,2016,"306"
6801608,54.94,12,2016,"336"
6801608,54.43,1,2017,"1"
6801608,54.05,2,2017,"32"
6801608,54.235,3,2017,"60"
6801608,54.625,4,2017,"91"
6801608,54.875,5,2017,"121"
6801608,55.045,6,2017,"152"
6801608,55.67,7,2017,"182"
6801608,55.305,8,2017,"213"
6801608,55.415,9,2017,"244"
6801608,55.465,10,2017,"274"
6801608,55.58,11,2017,"305"
6801608,55.61,12,2017,"335"
6801608,55.655,1,2018,"1"
6801608,55.645,2,2018,"32"
6801608,55.665,3,2018,"60"
6801608,55.82,4,2018,"91"
6801608,55.795,5,2018,"121"
6801608,55.775,6,2018,"152"
6801608,56.755,7,2018,"182"
6801608,55.795,8,2018,"213"
6801608,55.43,9,2018,"244"
6801608,55.04,10,2018,"274"
6801608,55.04,11,2018,"305"
6801608,54.525,12,2018,"335"
6801608,52.39,1,2019,"1"
6801608,52.75,2,2019,"32"
6801608,53.66,3,2019,"60"
6801608,54.315,4,2019,"91"
6801608,54.035,5,2019,"121"
6801608,53.75,6,2019,"152"
6801608,53.89,7,2019,"182"
6801608,54.605,8,2019,"213"
6801608,55.09,9,2019,"244"
6801608,55.17,10,2019,"274"
6801608,54.91,11,2019,"305"
6801608,55.565,12,2019,"335"
6801608,55.57,1,2020,"1"
6801608,55.475,2,2020,"32"
6801608,55.445,3,2020,"61"
6801608,55.47,4,2020,"92"
6801608,55.53,5,2020,"122"
6801608,55.7,6,2020,"153"
6801608,55.65,7,2020,"183"
6801608,55.675,8,2020,"214"
6801608,55.63,9,2020,"245"
6801608,55.675,10,2020,"275"
6801608,55.66,11,2020,"306"
6801608,55.78,12,2020,"336"
6801608,55.765,1,2021,"1"
6801608,55.77,2,2021,"32"
6801608,55.855,3,2021,"60"
6801608,55.85,4,2021,"91"
6801608,55.425,5,2021,"121"
6801608,55.35,6,2021,"152"
6801608,55.345,7,2021,"182"
6801608,55.455,8,2021,"213"
6801608,55.535,9,2021,"244"
6801608,55.425,10,2021,"274"
6801608,55.255,11,2021,"305"
6801608,55.26,12,2021,"335"
6801608,55.465,1,2022,"1"
6801608,55.5,2,2022,"32"
6801608,55.54,3,2022,"60"
6802302,223.555,1,2020,"1"
6802302,223.165,2,2020,"32"
6802302,221.285,3,2020,"61"
6802302,219.665,4,2020,"92"
6802302,223.45,5,2020,"122"
6802302,222.51,6,2020,"153"
6802302,231.625,7,2020,"183"
6802302,234.625,8,2020,"214"
6802302,233.075,9,2020,"245"
6802302,235.11,10,2020,"275"
6802302,232.68,11,2020,"306"
6802302,230.025,12,2020,"336"
6802302,229.275,1,2021,"1"
6802302,226.94,2,2021,"32"
6802302,226.06,3,2021,"60"
6802302,226.24,4,2021,"91"
6802302,223.17,5,2021,"121"
6802302,225.31,6,2021,"152"
6802302,221.48,7,2021,"182"
6802302,222.695,8,2021,"213"
6802302,224.035,9,2021,"244"
6802302,222.105,10,2021,"274"
6802302,218.935,11,2021,"305"
6802302,219.985,12,2021,"335"
6802302,220.265,1,2022,"1"
6802302,221.425,2,2022,"32"
6802302,223.39,3,2022,"60"
6802406,247,1,2005,"1"
6802406,265,2,2006,"32"
6802406,242.665,3,2006,"60"
6802406,243.125,4,2006,"91"
6802406,245.5,5,2006,"121"
6802406,247,6,2006,"152"
6802406,250.04,7,2006,"182"
6802406,254.625,8,2006,"213"
6802406,256.75,9,2006,"244"
6802406,258.86,10,2006,"274"
6802406,256.79,11,2006,"305"
6802406,255.92,12,2006,"335"
6802406,255.21,1,2007,"1"
6802406,253.92,2,2007,"32"
6802406,252.42,3,2007,"60"
6802406,251.375,4,2007,"91"
6802406,247.75,5,2007,"121"
6802406,244.5,6,2007,"152"
6802406,240.415,7,2007,"182"
6802406,238.7,8,2007,"213"
6802406,235.1,9,2007,"244"
6802406,234.05,10,2007,"274"
6802406,234.1,11,2007,"305"
6802406,233.2,12,2007,"335"
6802406,232.95,1,2008,"1"
6802406,235.6,2,2008,"32"
6802406,234.4,3,2008,"61"
6802406,238.9,4,2008,"92"
6802406,242.85,5,2008,"122"
6802406,247.8,6,2008,"153"
6802406,252.5,7,2008,"183"
6802406,255.75,8,2008,"214"
6802406,262.85,9,2008,"245"
6802406,260.6,10,2008,"275"
6802406,260.3,11,2008,"306"
6802406,259.966666666667,12,2008,"336"
6802406,258.3,1,2009,"1"
6802406,259.4,2,2009,"32"
6802406,260.5,3,2009,"60"
6802406,260.9,4,2009,"91"
6802406,263.1,5,2009,"121"
6802406,268.2,6,2009,"152"
6802406,271.9,7,2009,"182"
6802406,274.05,8,2009,"213"
6802406,273.625,9,2009,"244"
6802406,270.3,10,2009,"274"
6802406,269.3,11,2009,"305"
6802406,268.1,12,2009,"335"
6802406,267.05,1,2010,"1"
6802406,265.1,2,2010,"32"
6802406,262.4,3,2010,"60"
6802406,260,4,2010,"91"
6802406,259.025,5,2010,"121"
6802406,258.65,6,2010,"152"
6802406,258.155,7,2010,"182"
6802406,262.35,8,2010,"213"
6802406,261.9,9,2010,"244"
6802406,261.565,10,2010,"274"
6802406,262.02,11,2010,"305"
6802406,262.245,12,2010,"335"
6802406,260.78,1,2011,"1"
6802406,260.765,2,2011,"32"
6802406,263.7,3,2011,"60"
6802406,267.245,4,2011,"91"
6802406,269.135,5,2011,"121"
6802406,273.16,6,2011,"152"
6802406,275.845,7,2011,"182"
6802406,278.79,8,2011,"213"
6802406,280.01,9,2011,"244"
6802406,279.23,10,2011,"274"
6802406,278.695,11,2011,"305"
6802406,276.505,12,2011,"335"
6802406,275.38,1,2012,"1"
6802406,273.56,2,2012,"32"
6802406,272.065,3,2012,"61"
6802406,272.43,4,2012,"92"
6802406,271.515,5,2012,"122"
6802406,272.385,6,2012,"153"
6802406,272.635,7,2012,"183"
6802406,275.3,8,2012,"214"
6802406,276.41,9,2012,"245"
6802406,274.81,10,2012,"275"
6802406,274.43,11,2012,"306"
6802406,273.275,12,2012,"336"
6802406,271.82,1,2013,"1"
6802406,271.65,2,2013,"32"
6802406,272.66,3,2013,"60"
6802406,274.55,4,2013,"91"
6802406,273.59,5,2013,"121"
6802406,274.275,6,2013,"152"
6802406,277.76,7,2013,"182"
6802406,279.935,8,2013,"213"
6802406,279.755,9,2013,"244"
6802406,279.15,10,2013,"274"
6802406,277.575,11,2013,"305"
6802406,276.075,12,2013,"335"
6802406,275.7,1,2014,"1"
6802406,275.29,2,2014,"32"
6802406,274.2,3,2014,"60"
6802406,277.58,4,2014,"91"
6802406,274.98,5,2014,"121"
6802406,275.205,6,2014,"152"
6802406,277.125,7,2014,"182"
6802406,278.9,8,2014,"213"
6802406,278.2,9,2014,"244"
6802406,278.645,10,2014,"274"
6802406,280.2,11,2014,"305"
6802406,276.765,12,2014,"335"
6802406,275.285,1,2015,"1"
