"site","julian","date2","mean_depth_ft","month","day_month","min","flow10","flow25","flow50","flow75","flow90","max","Nobs","startYr","endYr","date"
5758402,"335",NA,NA,NA,NA,153.8,169.4,172.2825,177.085,180.4525,183.09,184.945,11,2007,2022,"12-01"
5758402,"336",NA,NA,NA,NA,158.8667,163.2507,169.8267,176.59,180.54,182.052,183.06,4,2007,2022,"12-02"
6801314,"1","2022-01-01",177.255,"Jan","01-01",96.275,109.2477,123.5163,143.6625,158.945,167.2105,177.255,20,2000,2022,"01-01"
6801314,"32","2022-02-01",175.745,"Feb","02-01",97.545,101.4467,128.025,148.265,161.915,170.302,175.745,19,2000,2022,"02-01"
6801314,"60","2022-03-01",176.205,"Mar","03-01",95.81,104.952,125.95,148.54,159.88,168.143,176.205,15,2000,2022,"03-01"
6801314,"61",NA,NA,NA,NA,99.125,112.013,131.345,150.185,161.3963,166.9965,170.73,4,2000,2022,"03-02"
6801314,"91",NA,NA,NA,NA,94.6333,116.622,122.105,148.795,156.5,161.973,173.84,13,2000,2022,"04-01"
6801314,"92",NA,NA,NA,NA,106.51,117.367,133.6525,151.41,162.0012,165.3875,167.645,4,2000,2022,"04-02"
6801314,"121",NA,NA,NA,NA,96.08,111.74,122.91,150.4,155.175,159.479,176.185,13,2000,2022,"05-01"
6801314,"122",NA,NA,NA,NA,110.4,122.2815,140.1037,155.39,161.3113,162.2765,162.92,4,2000,2022,"05-02"
6801314,"152",NA,NA,NA,NA,101.05,106.758,128.725,146.255,163.56,168.475,177.125,13,2000,2022,"06-01"
6801314,"153",NA,NA,NA,NA,120.02,129.5705,143.8962,157.725,163.8712,164.3685,164.7,4,2000,2022,"06-02"
6801314,"182",NA,NA,NA,NA,95.37,112.327,134.125,153.73,169.31,174.699,176.615,13,2000,2022,"07-01"
6801314,"183",NA,NA,NA,NA,122.665,132.268,146.6725,157.685,163.2675,167.898,170.985,4,2000,2022,"07-02"
6801314,"213",NA,NA,NA,NA,86.535,120.861,138.065,156.535,171.625,176.961,177.875,13,2000,2022,"08-01"
