"location","dec_long_va","dec_lat_va","elevation","elevation_at_mp","total_depth","casing_diameter","casing_type","casing_depth","cemented","estimated_gpm","aquifer","strata","district_id","state_id","avg_level","median_level","low","high","range","yrs_in_service","current","month","year","long_va","lat_va","agency"
"Kendall County R&B",-98.8787777777778,29.9461944444444,1468,1469.42,82,5,"PVC","82","45","34","Middle Trinity","Kgrl",5434,6801608,1412.9869,1412.51,1410.24,1420.1,9.8599999999999,12.6516084873374,1412.42,-0.0699999999999363,0.130000000000109,985243.6,295646.3,"CCGCD"
"Woodridge",-98.8396111111111,29.9478055555556,1540,1541.33,420,5,"PVC","420","240","15","Middle Trinity","Kgrl Kh",4581,6802406,1283.25380462725,1278.45,1249.5,1347.33,97.8299999999999,17.0130047912389,1258.44,-2.55999999999995,-0.309999999999945,985022.8,295652.5,"CCGCD"
"Waring VFD",-98.8038888888889,29.95,1340,1341.67,280,6.625,"Steel","150","150","28","Middle Trinity","Kh Kcc",1886,6802508,1241.93362880886,1241.4,1212.2,1279.4,67.2,15.2087611225188,1223.2,-0.399999999999864,5.10000000000014,984814,295700,"CCGCD"
"David Langford",-98.8430833333333,30.0767777777778,1589,1589.58,315,7,"Steel","262","262","42","Middle Trinity","Kh",6233,5758402,1414.37743455497,1411.415,1396.83,1464.2,67.3700000000001,58.6776180698152,1403.75,-1.73000000000002,-1.05999999999995,985035.1,300436.4,"CCGCD"
"Sisterdale VFD",-98.7212222222222,29.9757777777778,1293,1294.58,200,6.625,"Steel","126","126","12","Middle Trinity","Kh Kcc",315,6803109,1240.39942028986,1239.6,1201.8,1262,60.2,14.5544147843943,1234.1,-4.65000000000009,-0.1400000000001,984316.4,295832.8,"CCGCD"
"Violet Pass",-98.74925,29.9260555555556,1430,1432,360,5.563,"PVC","360","150","25","Middle Trinity","Kh Kcc",5968,6803406,1204.8173046875,1200.705,1170.9,1250.07,79.1699999999998,10.8035592060233,1186.22,-3.36999999999989,7.66000000000008,984457.3,295533.8,"CCGCD"
"Bergenplatz",-98.707,29.8901666666667,1431,1432.5,396,6.625,"Steel","308","308","25","Middle Trinity","Kh Kcc",4255,6803804,1211.91381057269,1210.315,1120.45,1298.92,178.47,19.2607802874743,1179.89,2.88999999999987,0.289999999999964,984225.2,295324.6,"CCGCD"
"Twin Canyon",-98.72855556,29.83069444,1591,1593.25,585,5,"PVC","510","510","70","Middle Trinity","Kcc",4241,6811418,1144.18507692308,1142.65,1075.5,1215.09,139.59,19.2607802874743,1142.73,-9.45000000000005,7.51999999999998,984342.8,294950.5,"CCGCD"
"Pfeiffer Ranch",-98.7505555555556,29.8286111111111,1514,1516.25,500,6.625,"PVC","240","240","20","Middle Trinity","Kgrl Kh Kcc",4828,6810626,1131.84356521739,1133.75,1071.72,1186.77,115.05,14.5544147843943,1137.12,-9.43000000000006,17.3499999999999,984502,294943,"CCGCD"
"Schwope TWDB",-98.7444722222222,29.7982222222222,1422,1423.6,500,8.625,"Steel","211","211","45","Middle Trinity","Kgrl Kh Kcc",6065,6811417,1153.07730612245,1153.68,1106.09,1193.04,86.95,23.0006844626968,1154.35,-2.88000000000011,21.4499999999998,984440.1,294753.6,"CCGCD"
"Comfort TWDB",-98.8947777777778,29.9719444444444,1405,1405,280,8,"Steel","175","175","31","Middle Trinity","Kh",7480,6801314,1284.51496134021,1290.6,1225.29,1355.84,130.55,38.135523613963,1228.71,-0.319999999999936,-3.92000000000007,985341.2,295819,"CCGCD"
"Waring TWDB",-98.7886111111111,29.93,1355,1356.25,281,6.625,"PVC","160","160","35","Middle Trinity","Kgrl Kh",22,6802609,1250.19401648999,1252.09,1180.01,1310.57,130.56,46.8117727583847,1187.46,-6.97000000000003,-10.1700000000001,984717,295548,"CCGCD"
"BKS Estate Trust",-98.5252777777778,29.9702777777778,1371,1373.17,310,5.563,"PVC","246","246","60","Middle Trinity","Kh Kcc",2754,6804312,1245.45945402299,1242.35,1221.27,1270.4,49.1300000000001,14.5544147843943,1234.23,-1.96000000000004,1.84999999999991,983131,295813,"CCGCD"
"Sabinas Creek Ranch",-98.6812777,29.86525,1452,1454.5,419,4.95,"PVC","419","240","10","Middle Trinity","Kgrl Kh Kcc",7971,6811211,1349.083625,1348.84,1346.59,1352.4,5.81000000000017,3.31279945242984,1346.73,-0.0099999999999909,-0.769999999999982,NA,NA,"CCGCD"
"Greco Bend",-98.7608611111111,29.9775555555556,1481,1484,400,4.95,"PVC","400","260","30","Middle Trinity","Kh Kcc",8118,6802302,1255.73777777778,1257.215,1245.29,1262.15,16.8600000000001,2.22313483915127,1256.99,-2.68000000000006,1.73000000000002,NA,NA,"CCGCD"
"Champee Fire Well",-98.8676944444444,29.8095833333333,1985,1986.5,179,4,"Steel",NA,NA,NA,"Edwards-Trinity","Kft",3991,6810405,1827.8307037037,1827.425,1823.08,1832.61,9.5300000000002,11.3839835728953,1827.05,-0.190000000000055,0.230000000000018,985203.7,294834.5,"CCGCD"
"Alamo Springs",-98.8012169444444,30.1090877777778,1987,1988.25,155,4.95,"PVC","155","unknown","unknown","Edwards-Trinity","Kft",6713,5758203,1925.47727272727,1928.1,1904.96,1928.57,23.6099999999999,11.1156741957563,1928.51,-0.0199999999999818,-0.0199999999999818,984804.381,300632.716,"CCGCD"
"Circle J Well (House)",-98.7868888,29.7623611,1594,1595,NA,4.95,"PVC","unknown","unknown","unknown","Upper Trinity","Kgru",5637,6810913,1559.4794795539,1558.25,1553.5,1573.77,20.27,11.3456536618754,1558.37,-0.260000000000218,0.809999999999945,984712.8,294544.5,"CCGCD"
"The Crossing LT",-98.556967,29.904513,1140,1141.33,450,6.625,"Steel","336","336","6","Lower Trinity","Khs",105,6804806,932.987337110481,931,859.8,1010.58,150.78,14.8911704312115,0.199999999999932,0,NA,983325,295416,"CCGCD"
"Waterstone Rio Frio",-98.5330555555555,29.8872222222222,1100,1101.83,328,5,"PVC","328","150","25","Lower Trinity","Ks Khs",3738,6804916,928.2617721519,905.61,838.7,1046,207.3,21.1745379876797,853.4,0.949999999999932,0.799999999999955,983159,295314,"CCGCD"
"La Cancion",-98.6075,29.9138888888889,1310,1312.17,560,6.625,"PVC","340","340","3","Lower Trinity","Khs",5193,6804706,1067.22848396501,1076.18,975.76,1096.5,120.74,14.5544147843943,1063.95,-0.75,34.1800000000001,983627,295450,"CCGCD"
"Rust Rd TWDB",-98.8230555555556,29.9094444444444,1426,1429,708,6.75,"Steel_PVC","485_668-708","485","50","Lower Trinity","Khs",7835,6802807,1255.48186700767,1249.23,1222.12,1340.2,118.08,44.0985626283368,1230.42,-1.42999999999984,-0.8599999999999,984923.8,295434.9,"CCGCD"
